episode,reward
42600,6.1045
42700,5.466
42800,7.3995
42900,6.6625
43000,2.9585
43100,5.6985
43200,8.101
43300,7.0175
43400,7.1235
43500,2.664
43600,7.679
43700,6.855
43800,3.4595
43900,5.343
44000,7.164
44100,6.0325
44200,5.932
44300,5.837
44400,6.343
44500,6.417
44600,4.392
44700,5.3415
44800,4.935
44900,5.5605
45000,3.0155
45100,6.054
45200,4.614
45300,4.8935
45400,4.677
45500,5.0945
45600,5.8075
45700,4.111
45800,6.385
45900,5.2545
46000,5.623
46100,3.97
46200,5.364
46300,5.41
46400,5.2675
46500,6.4855
46600,5.2905
46700,6.6655
46800,6.8635
46900,3.7425
47000,4.218
47100,4.0835
47200,4.633
47300,7.2945
47400,4.6215
47500,4.353
47600,5.2485
47700,3.639
47800,5.646
47900,6.588
48000,5.358
48100,7.2375
48200,4.3025
48300,6.7365
48400,4.8005
48500,6.276
48600,4.146
48700,5.67
48800,4.0655
48900,6.3295
49000,7.339
49100,7.629
49200,7.76
49300,6.9945
49400,9.28
49500,2.338
49600,5.431
49700,5.8755
49800,5.0165
49900,3.9185
50000,6.767
50100,6.5405
50200,5.562
50300,5.133
50400,4.6485
50500,6.6455
50600,5.793
50700,5.7505
50800,4.2295
50900,2.9795
51000,4.8185
51100,4.242
51200,6.482
51300,5.408
51400,5.5305
51500,3.5975
51600,5.4565
51700,5.7955
51800,5.2205
51900,5.5965
52000,4.065
52100,4.6605
52200,6.4425
52300,5.6715
52400,5.069
52500,6.277
52600,6.334
52700,5.6365
52800,6.3625
52900,5.0525
53000,3.8515
53100,7.0455
53200,7.1365
53300,7.037
53400,5.0675
53500,4.6415
53600,4.564
53700,6.715
53800,5.1845
53900,6.811
54000,4.9195
54100,5.544
54200,4.2425
54300,3.1245
54400,5.637
54500,6.304
54600,4.2885
54700,6.416
54800,4.21
54900,5.274
55000,3.9055
55100,4.0635
55200,3.382
55300,4.8385
55400,4.718
55500,4.144
55600,4.6895
55700,4.812
55800,5.468
55900,5.1715
56000,6.102
56100,8.439
56200,7.39
56300,4.166
56400,5.179
56500,4.788
56600,7.5695
56700,4.723
56800,5.801
56900,8.963
57000,5.2835
57100,4.5695
57200,6.4865
57300,2.737
57400,6.581
57500,6.3175
57600,6.0245
57700,4.0665
57800,4.3605
57900,4.3675
58000,5.0735
58100,6.547
58200,2.956
58300,3.7745
58400,7.022
58500,3.612
58600,6.4485
58700,6.7355
58800,5.983
58900,5.314
59000,5.3845
59100,6.9165
59200,7.5595
59300,4.5455
59400,6.396
59500,6.1745
59600,6.7415
59700,6.4115
59800,7.227
59900,4.8665
60000,2.967
60100,6.7435
60200,5.5815
60300,3.5525
60400,4.902
60500,5.683
60600,4.287
60700,3.7235
60800,3.829
60900,4.748
61000,5.108
61100,4.9285
61200,7.165
61300,6.222
61400,2.1525
61500,6.2005
61600,5.6125
61700,5.7045
61800,6.786
61900,4.849
62000,5.9005
62100,6.307
62200,5.9795
62300,5.8615
62400,3.558
62500,6.199
62600,6.653
62700,4.3655
62800,4.363
62900,7.0845
63000,3.3155
63100,3.629
63200,6.067
63300,5.1795
63400,5.4415
63500,5.814
63600,5.892
63700,6.886
63800,5.6735
63900,6.615
64000,3.844
64100,4.639
64200,4.318
64300,6.067
64400,5.289
64500,5.121
64600,0.9235
64700,5.904
64800,5.9355
64900,7.828
65000,6.113
65100,5.4
65200,4.416
65300,5.191
65400,4.594
65500,4.4715
65600,5.0165
65700,5.1405
65800,6.6265
65900,6.0555
66000,4.9275
66100,4.7
66200,4.193
66300,6.863
66400,4.3925
66500,4.7875
66600,5.731
66700,5.669
66800,7.747
66900,4.938
67000,2.113
67100,5.294
